class,X2,C0,X6,C1,X10,C2,X17,C3,X3,C4,X4,C5,X7,C6,X5_1,C7,X13,C8,X15_1,C9
6,133.907313611284,-1.4682080489818652,2.989234888091512,0.27690337339068033,1.745602,-1.9918797685787333,18.008364802732,1.6659919398504972,3.0,0.22942936597664298,0.62535,0.4304814333347376,2.923792,-0.38835807343321854,0,-0.027716504538518302,1.536555,0.19116409933292716,0,0.3920111049898177
4,82.3656083324739,0.7145261304224901,1.8108044066614335,-0.6182299847722817,1.6084,-1.6502593768762857,22.3391895552681,-1.390566559092893,1.0,0.29670973903372366,2.0,1.706740379412819,2.598632,1.3244107691448663,0,-0.8915104797852247,0.292093,0.010643981667479607,0,0.16159064715363403
5,121.134487899663,-2.2384832691661116,2.811050071077799,0.2817973154537012,1.86741,-0.6725760948809061,23.2744848698403,0.5693180671535666,2.65772,0.5637104164363634,0.0,-0.5400558203067912,2.104696,-0.12579565870678072,1,0.7025961706728601,0.870056,-0.008144470956246123,0,-0.4105278709006736
3,79.1255209789559,0.4052465424278681,2.0,1.6505448477757607,1.8,-0.5100704175974285,17.6526450985229,-1.3389856955872876,1.0,1.324807974160948,1.0,-0.16575019523891807,2.0,0.540285621072759,1,0.18390730798340124,2.0,-0.07697437088919608,1,-0.32636877078105203
5,118.193322659323,-2.002026756245085,2.191108,0.6044172360573294,1.788586,-0.4157959075060989,24.5663247395705,0.10703523494471909,2.993856,0.7292683535027533,0.145284,-0.44373459335077076,2.444917,-0.27205881723602504,1,0.40491194342406434,1.3889620176574242,-0.046416062952444895,0,-0.08672839926589548
1,80.1618425472443,-0.22504317996331347,2.0,0.06322772399386291,1.7104406296450967,-0.48376520214113555,22.8391388420254,-1.520537076113173,1.729553,0.12690644610352936,1.011983,-0.026039091079556403,1.400247,0.7802683162631533,1,0.06756037143671449,0.887923,-0.1982466359061807,0,-0.5351077877705713
0,65.2266511970547,2.648550847317419,2.388168,-0.3606276430725262,1.616533,-1.114929060921399,16.5984330531202,0.031678771158333126,1.0,-0.014455994459490409,1.165817,2.006937419336068,1.9975969866193504,-0.0010721570045047427,0,-1.9757237439678523,0.110887,0.8639974604800662,0,-0.2286140048155331
6,133.853731600866,-1.4187665841906174,3.0,0.3603212558457879,1.746411,-2.1024260849174166,17.253462839668,1.5916920824787015,3.0,0.11085089816411797,0.786846,0.446218784157251,2.864933,-0.2814703835588254,0,-0.08376550518558262,1.501647,0.17855851257661287,0,0.39843988858687085
4,78.72501666103,0.6893867399903612,2.0,-2.1070415972427954,1.56,1.0927378150494995,41.0864325055962,-0.9432276499227851,1.0,0.2132349156433221,0.0,1.7284934790799906,2.0,-1.1541077878186854,0,-0.6010536267900621,2.0,0.5481710464310987,0,-0.7183807199333451
1,83.4840337260574,-1.8045152075078212,2.092607318459313,-1.9363678291861401,1.745528,3.656775615480601,51.7065640300207,-1.0554039141282434,3.0,-0.3141002146057058,0.0,-0.04875414014315067,1.774778,-1.2914868010619793,1,-0.00071598384848128,0.943266,0.24557667984529075,0,-0.019298443008692424
1,89.2703157722085,-1.0294040722276168,1.521604,0.0739800599193914,1.789193,-0.2858875479207003,24.7492877778041,-1.6396496398290712,2.174968,0.680162482455588,0.632467,-0.3197308792938876,2.0,0.877501782850485,1,0.23060377378213684,0.0,-0.37979775860544196,0,-0.33132770367150594
5,127.556736246898,-2.5992475624022933,2.499626,0.4679078126291588,1.886109,1.1029967515432944,31.8027905577652,1.1850273844780013,3.0,-0.9506036474760353,1.022505,-1.7346898321322446,1.125338,4.019796049217816,1,-0.27665482199946,0.94522,2.133606516662193,0,-4.633249129206226
2,48.6890801904686,1.6480254764400344,3.0,-0.4861221013696805,1.64603,-0.1629485533044622,24.2261218918727,0.826933058046383,3.590039,-0.9661282657956414,0.0,-0.7056113619693998,2.7305,-1.0097683736363603,0,0.15156673507068447,0.107078,1.0991754652628154,0,0.9757503728781179
0,62.6267260634597,2.4273822417248816,3.0,-2.2460594273581,1.55,-0.24051192981478212,27.7570557175947,0.0771280701606719,1.0,0.6791083695809653,0.0,-0.15774693641946344,1.0,0.3432923306620831,0,0.7407277782209137,1.0,-0.304768206190916,1,-0.468991245427088
4,106.180918468189,-1.6398334181242449,2.490776,0.49439361064452697,1.790151,-1.11973536894135,21.1829281156385,0.006604512759257441,3.0,0.4702333048888718,0.756339,-0.20628100750736467,2.654517,0.41775516818883623,1,0.20493979832996165,0.112454,-0.17717667596547054,0,0.10831679502854015
6,105.48264179811,0.19063619422595013,3.0,-2.0654961465499495,1.592529,-1.2652244968411512,26.543904197991,0.5219462770880806,3.0,-0.9356074939911115,0.845633,-0.2696437245418953,1.074412,0.6867541746436355,0,0.3185453540601738,0.006265,-0.4083986235137181,0,-0.09963266309883059
6,112.259550907845,-0.6451837310903131,3.0,-1.6062983814435892,1.643017,-1.3762848321738965,25.3917680806352,1.3711878160951796,3.0,0.3223578880532792,0.140792,0.22652078199465336,2.632498,-0.004041371721956366,0,0.3153201744260634,0.0,-0.14558023001093912,0,0.2882263702058266
1,77.2124612327865,-0.08410620061572688,2.938031,-1.8824258291443607,1.658202,2.341939649893477,30.1097082640245,0.9820924146156143,1.532833,0.07492276755704869,0.371941,1.8512221109257463,1.931242,1.8775095237651855,0,-1.9885724670302851,0.525002,0.8759451914527261,0,2.2909617283556245
1,78.9543345342799,-0.1305907739025031,2.1205463488780305,1.101566804906194,1.677178,-0.2307886679278771,21.5592941523734,-1.3211083630417686,2.961706,-0.733768377162943,1.114716,0.37762184178057295,1.9635255400501799,-0.6541135745019034,1,-0.7530554907977913,1.661556,0.11471430867731039,0,-0.2969034129729089
1,83.8540047443439,-0.426543303326453,3.0,1.0856120169116985,1.77,2.319241022737568,34.1506261732193,1.7820190217278693,3.0,-0.2739357688633326,1.0,-0.620933183942794,3.0,-1.4613244865821275,1,0.4305504186728473,2.0,1.5228525794597687,0,0.7010743772435845
6,172.781919785623,-2.189134401421156,3.0,1.8426569570124711,1.87,-1.260828502090654,18.3488776069015,1.2271834875792802,3.0,-0.6440494510795042,1.0,-1.353179407024189,2.0,0.03204408628597012,1,0.836867008868609,2.0,1.3168753375042441,0,0.31306812113236704
5,118.322604792107,-2.4362561118003323,2.230742,-1.405622018533992,1.768235,1.9063314873193618,37.3902280744546,-0.187366840301627,2.920373,0.4052174626076688,0.0,-0.6729120763997983,1.831187,-0.30605108820784704,1,0.6677129770932181,0.756277,-0.10764928107034305,0,0.18091257120775114
